State,x,y
Andhra Pradesh,-38,-179
Arunachal Pradesh,276,200
Assam,218,104
Bihar,75,76
Chhattisgarh,-8,-20
Goa,-223,-180
Gujarat,-259,-5
Haryana,-132,152
Himachal Pradesh,-101,224
Jharkhand,47,27
Karnataka,-168,-195
Kerala,-189,-305
Madhya Pradesh,-100,15
Maharashtra,-184,-74
Manipur,280,58
Meghalaya,173,60
Mizoram,260,12
Nagaland,295,93
Odisha,59,-48
Punjab,-185,215
Rajasthan,-209,98
Sikkim,126,148
Tamil Nadu,-84,-279
Telangana,-76,-108
Tripura,183,6
Uttar Pradesh,-42,103
Uttarakhand,-41,184
West Bengal,124,12
